"Powerica Limited
CIN: U31100MH1984PLC032825
Notes to the Restated Consolidated Financial Infomation",,,,,,
(All,"amounts in Indian Rupees crores, except share data and where otherwise stated)",,,,,
"ii) Transactions during the period/year with related parties:
Category Transactions 30.09.2025 31.03.2025 31.03.2024 31.03.2023
Associate Interest Income:
Airpower Windfarms Private Limited - - - 1 .81
Loan Repaid:
Airpower Windfarms Private Limited - - - 2 1.55
Loan Given:
Airpower Windfarms Private Limited - - - 3 .56
Expenses Incurred, Re-imbursed to us:
Airpower Windfarms Private Limited - - - 0 .36
Rent Income:
Airpower Windfarms Private Limited - - Rs. 38,750 0 .01
Investment made during the period/year:
Airpower Windfarms Private Limited - - - 2 7.38
Platino Automotive Private Limited - 20.00 - -
Investments sold during the period/year:
Airpower Windfarms Private Limited - - 27.50 -
Services Rendered:
Airpower Windfarms Private Limited - - - 2 .08
Share of Profit (Loss):
Airpower Windfarms Private Limited - - (0.02) ( 14.19)
Platino Automotive Private Limited 6 .68 9 .03 - -
Sales:
Platino Automotive Private Limited 1 .78 1 .75 - -
Purchases:
Platino Automotive Private Limited 5.39 14.58 - -
Outstanding as at the period/year-end:
Payables:
Platino Automotive Private Limited 2 .08 0 .10 - -
Receivables:
Platino Automotive Private Limited 2.12 - - -
Investments:
Platino Automotive Private Limited 35.72 29.03 - -
Airpower Windfarms Private Limited - - - 1 0.95",,,,,,
,Category,Transactions,30.09.2025,31.03.2025,31.03.2024,31.03.2023
,Associate,"Interest Income:
Airpower Windfarms Private Limited",-,-,-,1 .81
,,"Loan Repaid:
Airpower Windfarms Private Limited",-,-,-,2 1.55
,,"Loan Given:
Airpower Windfarms Private Limited",-,-,-,3 .56
,,"Expenses Incurred, Re-imbursed to us:
Airpower Windfarms Private Limited",-,-,-,0 .36
,,"Rent Income:
Airpower Windfarms Private Limited",-,-,"Rs. 38,750",0 .01
,,"Investment made during the period/year:
Airpower Windfarms Private Limited
Platino Automotive Private Limited","-
-","-
20.00","-
-","2 7.38
-"
,,"Investments sold during the period/year:
Airpower Windfarms Private Limited",-,-,27.50,-
,,"Services Rendered:
Airpower Windfarms Private Limited",-,-,-,2 .08
,,"Share of Profit (Loss):
Airpower Windfarms Private Limited
Platino Automotive Private Limited","-
6 .68","-
9 .03","(0.02)
-","( 14.19)
-"
,,"Sales:
Platino Automotive Private Limited",1 .78,1 .75,-,-
,,"Purchases:
Platino Automotive Private Limited",5.39,14.58,-,-
,,Outstanding as at the period/year-end:,,,,
,,"Payables:
Platino Automotive Private Limited",2 .08,0 .10,-,-
,,"Receivables:
Platino Automotive Private Limited",2.12,-,-,-
,,"Investments:
Platino Automotive Private Limited
Airpower Windfarms Private Limited","35.72
-","29.03
-","-
-","-
1 0.95"
,"Key Management
Personnel and Non-",Director Sitting Fees & Commission,0 .13,0.36,0 .21,0 .07
,,Commission,-,0.10,-,-
,Executive Directors,Issue of Preference Shares,-,-,9 .91,-
,,Redemption of Preference Shares,-,9.91,-,-
,,Loan Received,-,-,-,1 .10
,,Loan Repaid,-,-,1 .10,0 .21
,,"Purchase of Property, Plant and Equipment’s",-,-,3 .21,-
,,Expenses Incurred to be Re-imbursed,0 .02,-,-,-
,,Remuneration,,,,
,,Post-Employment Benefits,0 .48,0 .09,0 .12,0 .03
,,Short Term Employment Benefits,9 .68,16.70,26.90,2 1.64
,,Outstanding as at the period/year- end:,,,,
,,Loan Received,-,-,-,1 .10
,,Payables,0 .02,0 .32,0 .14,-
,Enterprise over,"Expenses Incurred, Re-imbursed to us:",,,,
,"which Directors are
able to exercise","Powerica Generators Limited Liability
Partnership",-,-,"Rs. 8,745","Rs. 8,326"
"significant control Rent Income:
Mintage Luxury Jewellery Private Limited 0 .18 0 .14 0 .12 0 .12
AWT Energy Private Limited 0 .01 0 .01 0 .01 0 .02
Art Yarn Exports (India) Private Limited 0 .09 0 .19 0 .19 0 .18
Sale of Property, Plant & Equipments:
AWT Energy Private Limited - - 0.03 0 .05
Services Received:
AWT Energy Private Limited - 0 .18 0.22 0 .14
Outstanding as at the period/year-end:
Payables :
AWT Energy Private Limited - - - 0 .04
Receivables:
Mintage Luxury Jewellery Private Limited - 0 .02 - Rs. 8,326
Art Yarn Exports (India) Private Limited 0 .02 - - -
AWT Energy Private Limited Rs. 12,060 - 0 .13 -
Post-Employment Contributions made to Group Gratuity Trust
Benefits planned through premium paid to LIC 4 .29 2 .94 1 .96 1 .11
entity Outstanding as at the period/year-end:
Receivables 0.65 0.62 Rs. 7,143 0 .14",significant control,"Rent Income:
Mintage Luxury Jewellery Private Limited
AWT Energy Private Limited
Art Yarn Exports (India) Private Limited","0 .18
0 .01
0 .09","0 .14
0 .01
0 .19","0 .12
0 .01
0 .19","0 .12
0 .02
0 .18"
,,"Sale of Property, Plant & Equipments:
AWT Energy Private Limited",-,-,0.03,0 .05
,,"Services Received:
AWT Energy Private Limited",-,0 .18,0.22,0 .14
,,Outstanding as at the period/year-end:,,,,
,,"Payables :
AWT Energy Private Limited",-,-,-,0 .04
,,"Receivables:
Mintage Luxury Jewellery Private Limited
Art Yarn Exports (India) Private Limited
AWT Energy Private Limited","-
0 .02
Rs. 12,060","0 .02
-
-","-
-
0 .13","Rs. 8,326
-
-"
,"Post-Employment
Benefits planned
entity","Contributions made to Group Gratuity Trust
through premium paid to LIC",4 .29,2 .94,1 .96,1 .11
,,Outstanding as at the period/year-end:,,,,
,,Receivables,0.65,0.62,"Rs. 7,143",0 .14
