Other income,Three-month period,,Fiscal 2025,,Fiscal 2024,,Fiscal 2023,
,"ended June 30, 2025",,,,,,,
,Amount (in,% of total,Amount,% of total,Amount,% of total,"Amount
(in ₹
million)","% of total
income
(in%)"
,₹ million),income,(in ₹,income,(in ₹,income,,
,,,million),(in%),million),(in%),,
"(a) Interest on term
deposits",0.12,0.00%,0.65,0.00%,2.31,0.02%,1.85,0.02%
"(b) Exchange
variation on
foreign currency
transactions",36.16,0.64%,68.53,0.35%,47.44,0.34%,49.27,0.47%
"(c) Other Interest
Income",1.99,0.04%,13.27,0.07%,10.73,0.08%,12.21,0.12%
"(d) Interest on
security deposit
(over financial
assets measured at
amortised cost)",0.42,0.01%,1.49,0.01%,1.31,0.01%,1.18,0.01%
"(e) Profit on sale of
property, plant and
equipment",-,0.00%,-,0.00%,12.46,0.09%,0.54,0.01%
"(f) Provisions/liabiliti
es no longer
required now
written back",0.23,0.00%,15.03,0.08%,0.51,0.00%,6.30,0.06%
